ts,visitor_uuid,visitor_source,visitor_device,visitor_useragent,visitor_ip,visitor_country,visitor_referrer,env_type,env_doc_id,event_type,subject_type,subject_doc_id,subject_page,cause_type,event_readtime,env_ranking,env_build,env_name,env_component,visitor_username,event_index,subject_infoboxid,subject_url,cause_position,cause_adid,env_adid,cause_embedid
1393631984,4e78d1c52db229aa,external,browser,"Mozilla/5.0 (iPhone; CPU iPhone OS 7_0_6 like Mac OS X) AppleWebKit/537.51.1 (KHTML, like Gecko) Version/7.0 Mobile/11B651 Safari/9537.53",3224bbc279b55665,US,30708128b123589d,reader,140227155944-51c1fcaa6e38df3f05577237c3ef3f4a,pageread,doc,140227155944-51c1fcaa6e38df3f05577237c3ef3f4a,16.0,,,,,,,,,,,,,,
1393631984,47d2608ec1f9127b,external,browser,"Mozilla/5.0 (iPhone; CPU iPhone OS 7_0_6 like Mac OS X) AppleWebKit/537.51.1 (KHTML, like Gecko) Version/7.0 Mobile/11B651 Safari/9537.53",b3ed279aa5006eb0,MX,ab11264107143c5f,reader,140228202800-6ef39a241f35301a9a42cd0ed21e5fb0,pagereadtime,doc,140228202800-6ef39a241f35301a9a42cd0ed21e5fb0,2.0,,4007.0,,,,,,,,,,,,
1393631984,24cebcd7e2384d8c,external,browser,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/33.0.1750.117 Safari/537.36",be37121d7166755b,BR,64f729926497515c,reader,120612175518-55d4e7622fae4ee88a787efa2e7c920f,pagereadtime,doc,120612175518-55d4e7622fae4ee88a787efa2e7c920f,1.0,,4004.0,,,,,,,,,,,,
1393631984,5cc95d811cd9f4ef,external,browser,"Mozilla/5.0 (iPad; U; CPU OS 4_3_3 like Mac OS X; es-es) AppleWebKit/533.17.9 (KHTML, like Gecko) Version/5.0.2 Mobile/8J2 Safari/6533.18.5",54bca519b8c75d01,ES,cb72ecb6b59e40c1,reader,140227143946-000000008d72b3bbe1f060862206daec,pageread,doc,140227143946-000000008d72b3bbe1f060862206daec,1.0,,,,,,,,,,,,,,
1393631984,5cc95d811cd9f4ef,external,browser,"Mozilla/5.0 (iPad; U; CPU OS 4_3_3 like Mac OS X; es-es) AppleWebKit/533.17.9 (KHTML, like Gecko) Version/5.0.2 Mobile/8J2 Safari/6533.18.5",54bca519b8c75d01,ES,cb72ecb6b59e40c1,reader,140227143946-000000008d72b3bbe1f060862206daec,read,doc,140227143946-000000008d72b3bbe1f060862206daec,0.0,,,,,,,,,,,,,,
1393631985,fad415c1a8f7d994,external,browser,"Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/33.0.1750.117 Safari/537.36",1283b18f6602d045,US,3d9ed570b52ccd0a,reader,080430195254-6a2f044400a44849a5cbc23477f6fb2a,impression,doc,080430195254-6a2f044400a44849a5cbc23477f6fb2a,0.0,impression,,,,,,,,,,,,,
1393631985,fad415c1a8f7d994,external,browser,"Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/33.0.1750.117 Safari/537.36",1283b18f6602d045,US,3d9ed570b52ccd0a,reader,080430195254-6a2f044400a44849a5cbc23477f6fb2a,impression,doc,080430195254-6a2f044400a44849a5cbc23477f6fb2a,1.0,page,,,,,,,,,,,,,
1393631985,53b2579b93bf78df,external,browser,"Mozilla/5.0 (Windows NT 6.2; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/32.0.1700.107 Safari/537.36",8b7ede5824cfe55b,US,64f729926497515c,reader,120724221152-8a24c874a5114277b2e8483e6c8b7c63,impression,doc,120724221152-8a24c874a5114277b2e8483e6c8b7c63,6.0,page,,,,,,,,,,,,,
1393631985,53b2579b93bf78df,external,browser,"Mozilla/5.0 (Windows NT 6.2; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/32.0.1700.107 Safari/537.36",8b7ede5824cfe55b,US,64f729926497515c,reader,120724221152-8a24c874a5114277b2e8483e6c8b7c63,impression,doc,120724221152-8a24c874a5114277b2e8483e6c8b7c63,7.0,page,,,,,,,,,,,,,
1393631985,684deb5eee141253,external,browser,"Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/33.0.1750.117 Safari/537.36",bfb58a0ac4831f4c,BG,64f729926497515c,reader,140228073700-0f508de1a821f5230c4a55c88a95ffa3,pagereadtime,doc,140228073700-0f508de1a821f5230c4a55c88a95ffa3,6.0,,4000.0,,,,,,,,,,,,
